# galtileid raJ2000 decJ2000 uDerived gDerived rDerived iDerived zDerived yDerived redshift semiMajorBulge semiMinorBulge semiMajorDisk semiMinorDisk isAGN
4710414000146 1.42663756 4.46589608 20.8356752 20.0645115 19.2826982 18.9313413 18.7379809 18.5604174 0.265857786 0.444798797 0.418352097 1.45674634 0.57575649 0
4710414268434 1.5811158 4.26860037 21.4316247 20.0418714 18.9160487 18.4509711 18.2141125 18.0202309 0.266469091 1.21956205 0.897791624 4.13894129 2.69889474 0
4710414659602 1.32904895 4.51804587 21.8123346 20.1914427 19.0400958 18.5361177 18.283786 18.0802377 0.245772898 1.30308628 1.28955662 1.50885415 0.449876487 0
4710415605778 1.57181285 4.3189572 19.9741854 19.244064 18.5824856 18.306865 18.1546558 18.0135501 0.245535806 0.665417492 0.633219421 1.66200781 0.623975694 0
4710416001042 1.23470961 4.39976893 22.7591785 20.8597869 19.3449027 18.6321284 18.2553281 18.0510664 0.476298213 1.31862915 1.1236012 7.5358181 7.06653643 0
4710416066578 1.20541059 4.47987472 22.7242362 20.9230119 19.472464 18.6919437 18.2918941 18.0680278 0.5076949 1.36856019 1.32775259 5.62106085 1.65069091 0
4710416566290 1.34068084 4.49523329 23.3091071 21.1739828 19.6844516 18.8765992 18.4797037 18.2540924 0.516234994 1.12448823 0.977371812 0.609653175 0.483105093 0
4710416599058 1.59822832 4.59623704 19.7711971 19.4220733 19.1176862 18.9190823 18.8574153 18.7813069 0.599906385 0.463818699 0.433386505 1.23727369 0.499400914 0
4710416824338 1.34402942 4.44462344 22.2838947 21.1419215 19.8998817 18.8536566 18.4618173 18.2490691 0.758091807 0.0 0.0 0.390357107 0.359756887 0
4710417471506 1.27130535 4.32178038 19.9969635 19.6148081 19.3043822 18.9667469 18.9274278 18.8494955 0.674590111 0.228977904 0.207082301 2.96166754 1.32660234 0
4710417881106 1.28784782 4.26274653 21.8718497 20.2708124 19.1476164 18.6544899 18.3846932 18.1755089 0.210829899 0.755157113 0.550536871 2.27178597 1.08494151 0
4710418003986 1.44500321 4.36761932 20.5937138 19.6717174 18.929192 18.5678605 18.3531207 18.1684285 0.210644007 0.335638404 0.281803399 1.14831519 0.329310805 0
4710418636818 1.45634112 4.3219668 20.878421 19.3905879 18.4625172 18.0850987 17.8764409 17.6986998 0.215012595 1.90579581 1.35146248 0.0941798016 0.0213305 0
4710418913298 1.3015585 4.27725347 19.9779563 19.0141289 18.3936011 18.0855282 17.8745889 17.7236115 0.148412704 0.350683302 0.348768085 1.38146317 0.547734916 0
4710418960402 1.45804299 4.48529883 20.8971553 19.8208677 19.2257804 18.9519224 18.774169 18.6474314 0.151797593 0.33575201 0.324287891 4.61301231 1.88596582 0
4710419167250 1.32759024 4.38277097 21.7964213 20.1258989 19.0302089 18.5142422 18.1898061 17.9579379 0.152604803 0.639766097 0.592068791 1.36175954 0.331981391 0
4710419306514 1.38392194 4.45658334 20.2368919 19.3287149 18.7488562 18.4657682 18.2758063 18.1392407 0.153017595 0.778032482 0.702133179 2.024086 0.940009892 0
4710419535890 1.28159696 4.42963056 20.514986 19.6674699 19.1708398 18.9346706 18.7732148 18.6586599 0.148547098 0.65488559 0.509217918 0.828413904 0.358385414 0
4710419660818 1.2025522 4.59467453 21.5685386 20.0876034 19.0724107 18.6095324 18.3304907 18.1397213 0.153404996 0.820713878 0.631686211 0.288219213 0.168053895 2
4710419802130 1.59470907 4.20457878 20.045417 19.3027558 18.8554692 18.6566967 18.5201482 18.4305899 0.155149296 0.130280599 0.130267903 2.36835909 2.08021164 0
4710419828754 1.44603371 4.5327842 20.4932435 19.2618343 18.4592709 18.0843703 17.8608325 17.7013806 0.162437603 0.328074515 0.3174119 1.33157253 0.496383786 0
4710419841042 1.53677813 4.41697925 20.3412849 19.3414234 18.6614711 18.3249954 18.1107826 17.9492578 0.163105607 0.469386995 0.467940211 1.70169735 0.530771911 0
4710420660242 1.48709832 4.53539494 21.3838303 19.745864 18.6653623 18.1996516 17.9277356 17.7333054 0.181919798 1.23778164 1.04156566 0.671426177 0.216765106 0
4710420865042 1.41035378 4.51179558 20.6272825 19.7627561 19.1349689 18.839109 18.6494459 18.5023681 0.183257595 0.203228697 0.1257222 1.71119928 0.765567422 0
4710421288978 1.26506188 4.41981366 20.8450137 19.5550814 18.6308254 18.1940755 17.9443455 17.7506102 0.192872196 0.327367187 0.309688002 1.59780824 0.433976412 0
4710421350418 1.47302931 4.55295341 22.0102702 20.396957 19.3557716 18.8867675 18.6210844 18.4374391 0.181844205 0.66277498 0.48986271 1.52537954 0.418864101 0
4710421358610 1.49647716 4.54600285 21.1902697 19.5976705 18.5668987 18.1069686 17.8499098 17.6767222 0.181961104 0.933185399 0.905661821 0.467041701 0.143519104 0
4710421542930 1.50688766 4.28300938 20.4553874 19.6113948 18.9913973 18.7055996 18.5281356 18.3896578 0.190831602 0.905519307 0.623511791 1.4295156 0.645404816 0
4710421608466 1.4118272 4.58061176 20.5938569 19.3805885 18.5055233 18.0675734 17.7944695 17.5731369 0.181883797 1.08737886 1.08715606 1.51662612 0.350245088 0
4710422028306 1.47585366 4.5587067 21.7518108 20.1446565 19.104876 18.642651 18.3803734 18.1976688 0.181930602 1.14762795 1.12677312 0.820193589 0.41221869 0
4710422161426 1.4859736 4.56315803 21.3457432 19.6694501 18.5492065 18.0722294 17.7849113 17.5793646 0.181977302 1.84619951 1.16834593 0.239906803 0.115005001 0
4710422220818 1.44238773 4.20844044 21.7073524 20.1734897 19.2293759 18.8206738 18.599652 18.4348502 0.202583104 0.426107198 0.415823609 2.35200381 0.913605094 0
4710422243346 1.49429857 4.52870192 22.1269161 20.4673119 19.3607391 18.8791709 18.5929724 18.3853081 0.181971893 1.60349226 1.59236896 0.222999007 0.0519969985 0
4710422317074 1.42982014 4.50448429 19.9841276 19.1667484 18.5305312 18.2394403 18.0619021 17.9163302 0.202771902 0.68235451 0.60378772 2.53888059 1.05232918 0
4710424295442 1.22977863 4.49996649 22.9813931 20.8374143 19.3383151 18.6480142 18.2866231 18.0836523 0.445255101 1.34426916 1.15826225 3.44498897 2.60648584 0
4710424741906 1.58827306 4.27008748 22.8366781 20.9903894 19.5074851 18.8628449 18.5031383 18.3034344 0.418767005 1.22387099 1.08640611 2.62668061 1.56880081 0
4710424983570 1.43612253 4.29186289 21.8866144 20.7646459 19.4339229 18.8565266 18.5165013 18.3172828 0.415947795 0.615285218 0.592002213 1.58811355 0.445864886 0
4710425114642 1.34971056 4.33938593 22.0440622 20.4256437 19.1502879 18.6678101 18.4120954 18.2456079 0.340831608 0.648287773 0.483575791 4.51237297 3.02392554 2
4710425137170 1.48773872 4.25290101 23.0566915 20.9260708 19.4642265 18.8658125 18.5480203 18.3422076 0.356195211 1.56870675 0.944167316 0.382520795 0.133353606 0
4710425520146 1.28791559 4.32147339 22.7023343 20.8200995 19.420695 18.8359006 18.5249424 18.3277507 0.356730491 1.68249595 1.66741562 1.03856611 0.305504501 0
4710426386450 1.23519239 4.51396593 21.9077423 20.2063665 18.9719747 18.4216402 18.1535579 17.94516 0.282609403 1.42666292 1.27487504 0.0 0.0 0
4710426853394 1.52034885 4.31782755 22.880452 21.9211 20.5151386 19.604504 18.6990137 18.2803998 1.10783935 0.0 0.0 0.248877704 0.139429495 0
4710427611154 1.52986267 4.26151263 21.2099233 20.3720505 20.0930724 19.9475617 19.8471064 19.7941584 0.0548752993 0.0 0.0 0.730506182 0.5832026 0
4710427676690 1.21761262 4.4706337 20.4998533 19.559172 19.2631339 19.1136015 19.0032099 18.9415135 0.0562307015 0.0 0.0 3.25901508 2.25795698 0
4710427697170 1.38250674 4.37698067 21.0186885 19.9447481 19.5159656 19.3014088 19.1460112 19.0568908 0.0652159005 0.0 0.0 1.95366275 0.849331975 0
4710428162066 1.38461406 4.20024869 21.2163976 20.5801854 19.8085913 19.49677 19.3204992 19.1732434 0.302335203 0.356116712 0.311501205 1.50843465 0.891477823 0
4710428452882 1.52496455 4.25481932 22.6467514 21.3762318 20.2013426 19.644345 19.3486939 19.1234576 0.304674596 0.302694499 0.259542286 0.798169196 0.185150594 0
4710428745746 1.26438953 4.53927545 22.3908143 21.2870345 20.2260675 19.7656873 19.5225168 19.3397551 0.304141015 0.349761307 0.282943696 1.3053509 0.505988896 0
4710428950546 1.20036351 4.31587527 21.9652688 21.100281 20.0276136 19.532181 19.2633164 19.0331774 0.316750586 0.285238892 0.238370195 0.933265209 0.396000087 0
4710429130770 1.34373214 4.33986357 22.2145938 21.0362017 19.9865891 19.5315614 19.3006862 19.1234261 0.303630292 0.523754299 0.442997396 2.90154266 1.15516496 0
4710429847570 1.55979636 4.50772321 22.3920504 21.3231844 20.2272285 19.7111093 19.4323028 19.1975732 0.305838913 0.416503012 0.370518804 0.741507292 0.186804697 0
4710430011410 1.59233197 4.21568841 21.2717401 20.5967102 19.7066794 19.3414017 19.1292498 18.9643894 0.33512941 0.164476797 0.152995303 1.20981789 0.436370909 0
4710430412818 1.46065166 4.45163774 21.9462838 21.188337 20.2487113 19.7920525 19.5273678 19.3088431 0.329549313 0.291337907 0.26536411 1.03227115 0.255811602 0
4710430543890 1.39888497 4.50187122 22.8007336 21.1337726 19.8607897 19.3664565 19.10966 18.9417886 0.328716606 1.26733589 1.02289772 1.89508951 1.26413333 2
4710431039506 1.41153542 4.59582654 23.7768461 21.7256482 20.257551 19.6700024 19.3642491 19.1476837 0.341928989 1.63882601 1.41139305 1.21581376 1.03889334 0
4710431842322 1.27866776 4.52834436 22.5426577 21.4093218 20.3062534 19.8207431 19.562436 19.3701601 0.311994612 0.467926294 0.44849509 1.27524817 0.415510803 0
4710432532498 1.31568509 4.558445 22.0805722 20.5121762 19.7400806 19.3751733 19.1338317 18.9974279 0.0792018995 0.0 0.0 1.32273078 0.372537613 0
4710432573458 1.56584779 4.29627817 20.7539658 19.8697975 19.4624089 19.2499507 19.0937 19.0000987 0.0878259987 0.0 0.0 0.557207704 0.381742299 0
4710432669714 1.55694189 4.44571755 20.2894602 19.5421613 19.2996394 19.1972735 19.1143662 19.0725674 0.0986063033 0.0 0.0 5.14596319 4.27418804 0
4710432866322 1.26906657 4.44939085 20.8366275 19.9113353 19.5218105 19.3246232 19.1801779 19.0971866 0.0793872029 0.0 0.0 1.36568522 0.792861998 0
