# id raJ2000 decJ2000 glat glon sedFilename uDerived gDerived rDerived iDerived zDerived yDerived properMotionRa properMotionDec parallax radialVelocity isVar
2251126145033 1.3458052 4.2513988 -56.7070676 101.670388 starSED/mlt/m0.2Full.dat.gz 26.4870133 24.2903329 23.0461 22.4011564 22.0872471 21.9226919 -11.76 5.25 0.1914256 -65.6 4
2372164636681 1.3422345 4.261456 -56.6963993 101.67018 starSED/mlt/m0.3Full.dat.gz 27.284748 25.077675 23.8209787 23.1581601 22.8357592 22.6667253 -3.59 -0.2 0.1223489 -69.6 4
1677003513865 1.3675896 4.2424964 -56.7225172 101.702601 starSED/kurucz/km10_5500.fits_g15_5500.gz 20.6612596 19.448738 18.9675801 18.797958 18.7396078 18.7081576 -6.76 4.37 0.223769 20.2 0
2251128352777 1.3603689 4.2413159 -56.7213067 101.689486 starSED/mlt/m2.4Full.dat.gz 30.262751 28.0704915 26.7022326 25.5902833 25.0791804 24.8876402 -0.49 1.04 0.0635916 182.8 4
2390940987401 1.3541248 4.239227 -56.7212693 101.677516 starSED/mlt/m2.5Full.dat.gz 31.2958187 29.1096181 27.7426173 26.6099055 26.0891158 25.8985735 -0.97 2.35 0.0426187 153.7 4
2251130558473 1.367143 4.2532636 -56.7121836 101.708172 starSED/kurucz/km20_5000.fits_g00_5080.gz 26.8906051 25.3793845 24.7323186 24.479401 24.3709454 24.314454 -0.3 1.23 0.0248085 163.9 0
2269761499145 1.3618614 4.2606134 -56.7035262 101.703418 starSED/kurucz/km15_5750.fits_g30_5950.gz 26.5659546 25.669426 25.3187669 25.1995019 25.1699695 25.1639764 -0.26 0.1 0.0094363 -52.1 0
2251125938185 1.3462407 4.2466172 -56.7117325 101.668318 starSED/kurucz/km15_4500.fits_g05_4540.gz 25.7419638 23.6514351 22.7282794 22.3636778 22.1962869 22.088762 -6.26 2.7 0.0990832 -144.1 0
2251126319113 1.3468597 4.2510796 -56.70771 101.672013 starSED/mlt/m0.6Full.dat.gz 29.50919 27.2696946 25.9735714 25.2517251 24.9026133 24.7204118 -1.05 -1.11 0.0498655 -226.8 4
2251115087881 1.2417998 4.3869216 -56.5452323 101.571964 starSED/kurucz/km20_5500.fits_g20_5700.gz 21.3778126 20.4062092 20.0131528 19.8662695 19.8161238 19.7981169 -6.76 6.6 0.125603 5.6 0
1205287006217 1.2363501 4.3774137 -56.5524562 101.557032 starSED/mlt/m5.5Full.dat.gz 27.0833728 24.7925563 23.3354964 21.5415709 20.6533432 20.0902475 -4.92 13.45 1.1313579 45.4 4
2027683014665 1.2435118 4.3829964 -56.5494992 101.572577 starSED/mlt/m0.1Full.dat.gz 23.6436815 21.4573463 20.2252766 19.5971788 19.2915947 19.1315629 -2.76 3.25 0.4168694 34.1 4
2390937290761 1.247933 4.358394 -56.5741982 101.565625 starSED/mlt/m4.5Full.dat.gz 29.633388 27.3740053 25.985486 24.4540583 23.7196873 23.3655584 -6.51 14.34 0.2159733 166 4
2251114969097 1.2515533 4.3569931 -56.5766967 101.570996 starSED/kurucz/km25_4250.fits_g00_4410.gz 28.9931844 26.7762616 25.6927924 25.2369233 25.0264044 24.9069138 -1.39 0.44 0.0316957 -34.6 0
1676998295561 1.2381369 4.3633463 -56.5663379 101.551784 starSED/kurucz/km15_5750.fits_g25_5970.gz 18.8325892 17.9021325 17.5649826 17.4524792 17.4252067 17.419236 -5.11 3.14 0.2851018 21.5 0
2251117236233 1.2602156 4.3657952 -56.5711791 101.591017 starSED/mlt/m4.8Full.dat.gz 30.6037219 28.3377762 26.9266517 25.3166994 24.5341954 24.1379526 0.15 10.14 0.1593676 272.1 4
2251116363785 1.2591103 4.3559998 -56.5800852 101.583347 starSED/mlt/m3.5Full.dat.gz 31.0575948 28.8555234 27.5025305 26.1892576 25.5820664 25.3139348 -3.01 1.96 0.070372 -0 4
2251117914121 1.2665998 4.3569732 -56.5815904 101.596746 starSED/mlt/m0.6Full.dat.gz 27.6268093 25.3881062 24.0926404 23.3712189 23.0224512 22.840458 -4.94 2.95 0.1317043 -16.1 4
2390938349577 1.2665991 4.3595019 -56.5791985 101.598235 starSED/kurucz/km15_4250.fits_g05_4450.gz 26.8518378 24.6327716 23.6614982 23.2764485 23.0962772 22.978204 -1.74 0.83 0.0664355 -4.3 0
2251115253769 1.2489329 4.3690444 -56.5644505 101.573622 starSED/kurucz/km20_6250.fits_g35_6250.gz 21.7139685 20.9208124 20.6353999 20.5462367 20.534502 20.5415338 -1.67 0.69 0.0618871 -23.5 0
2269757859849 1.2488438 4.3112792 -56.6190448 101.53934 starSED/kurucz/km10_5250.fits_g25_5390.gz 23.4860976 22.3050218 21.7891996 21.6032266 21.5356475 21.4991069 -3.38 3.22 0.0873373 4.6 0
2390936358921 1.2428134 4.3237253 -56.6053191 101.536372 starSED/kurucz/km10_5250.fits_g20_5290.gz 23.4420612 22.1735254 21.6238246 21.4236493 21.3479729 21.304492 -5.35 0.83 0.0981296 -94.9 0
2372163481609 1.2697269 4.314082 -56.623168 101.576789 starSED/mlt/m6.2Full.dat.gz 31.0585374 28.7138001 27.2202929 25.2304447 24.3034144 23.6716742 -9.1 14.39 0.3083188 104.6 4
2251115888649 1.2714195 4.3132688 -56.6244856 101.57921 starSED/kurucz/km20_5500.fits_g15_5640.gz 23.8612518 22.828739 22.4230376 22.2708085 22.2157643 22.1941802 -1.86 0.96 0.0399761 -54.8 0
2372163579913 1.2732061 4.3137578 -56.624602 101.582561 starSED/mlt/m3.0Full.dat.gz 31.4989974 29.3242279 27.9655957 26.7386135 26.1736301 25.9643761 -1.32 1.38 0.0554626 19.8 4
872589502473 1.2643407 4.31282 -56.6226155 101.56681 starSED/kurucz/km15_5750.fits_g15_5770.gz 15.8635209 14.8122065 14.434562 14.3028693 14.260451 14.2443196 -1.4 -8.08 1.1324004 -34.6 0
2390937223177 1.2611368 4.3162127 -56.6183683 101.563324 starSED/kurucz/km15_4750.fits_g00_4770.gz 26.476139 24.5588126 23.7187746 23.3930379 23.2539206 23.1686379 -2 0.73 0.0558213 -42.1 0
2251114149897 1.2619163 4.3139448 -56.6207657 101.56332 starSED/mlt/m0.7Full.dat.gz 30.5272219 28.2786332 26.9704964 26.2284374 25.8707795 25.6847641 -0.5 0.21 0.0334503 98.5 4
2251114598409 1.2635931 4.3160917 -56.6192791 101.567462 starSED/kurucz/km35_4750.fits_g00_4970.gz 19.2244915 17.7448305 17.0635003 16.7828851 16.6568372 16.5950252 -1.24 0.38 0.0267917 -151.1 0
2251112597513 1.2433447 4.3424282 -56.5878072 101.54834 starSED/kurucz/km35_5750.fits_g20_5790.gz 18.222938 17.323183 16.9623526 16.825654 16.7786215 16.7648851 -9.53 9.48 0.1664179 25.9 0
2251112275977 1.2412549 4.3431113 -56.5864831 101.545165 starSED/mlt/m1.2Full.dat.gz 31.3520925 29.07953 27.7247544 26.8779354 26.4781918 26.2764799 -1.46 0.93 0.0300746 -16.3 4
2251113050121 1.2465504 4.3407849 -56.5904012 101.552858 starSED/kurucz/km30_4250.fits_g00_4350.gz 31.0121403 28.7702424 27.6385769 27.1518871 26.9242386 26.7979198 -0.24 0.46 0.0152335 -75.8 0
1676997974025 1.2447392 4.3261927 -56.6036113 101.54113 starSED/mlt/m6.1Full.dat.gz 29.0527469 26.717242 25.2289551 23.2683106 22.3427226 21.711467 -5.02 3.98 0.6456542 14.3 4
2251113392137 1.2572576 4.3149708 -56.6182845 101.555942 starSED/mlt/m2.0Full.dat.gz 30.9612182 28.7382051 27.3675207 26.3440106 25.8731911 25.6713632 -0.62 -0.1 0.0482836 -7 4
2251124486153 1.3148688 4.3140819 -56.6377728 101.654199 starSED/kurucz/km25_6250.fits_g40_6450.gz 23.0548781 22.3244323 22.0706175 21.9970198 21.9955975 22.010649 -1.21 0.37 0.0287078 -183.4 0
2372164366345 1.3108514 4.3130401 -56.6374607 101.646694 starSED/mlt/m2.2Full.dat.gz 31.5574756 29.3511678 27.9814709 26.91307 26.4221459 26.2260669 -1.78 1.02 0.0410771 -76 4
2251120578569 1.2855063 4.3408529 -56.6029567 101.619629 starSED/kurucz/km15_4750.fits_g00_4950.gz 25.8976005 24.1806361 23.4463116 23.1652068 23.047685 22.9785527 -1.56 0.93 0.0521915 11 0
2251120261129 1.2936526 4.3127731 -56.6321531 101.617038 starSED/mlt/m2.2Full.dat.gz 30.1494758 27.9431679 26.573471 25.5050701 25.014146 24.8180671 -2.31 3.91 0.0689287 84 4
2390938800137 1.2904509 4.3105357 -56.6332335 101.610227 starSED/mlt/m3.1Full.dat.gz 30.010434 27.8323673 26.4749503 25.2303916 24.657067 24.4380183 -2.66 0.81 0.0930679 -71.3 4
2251120007177 1.2887977 4.3228559 -56.6210451 101.61466 starSED/mlt/m5.2Full.dat.gz 30.8181517 28.5406738 27.1009579 25.3857494 24.5384545 24.0480783 -6.72 -1.05 0.1813844 -95.2 4
872590155785 1.2923293 4.3291997 -56.6161866 101.624454 starSED/mlt/m5.3Full.dat.gz 27.6548207 25.3733617 23.9274782 22.186141 21.323931 20.8076447 -20.45 -1.05 0.7928664 -61.3 4
2251120848905 1.2915367 4.3267881 -56.6182115 101.621674 starSED/kurucz/km25_5500.fits_g15_5520.gz 21.3391659 20.3133982 19.8794978 19.7081863 19.6414683 19.6143439 -1.67 0.64 0.0363413 -92.3 0
1205287190537 1.2787132 4.3288428 -56.6121185 101.600905 starSED/mlt/m3.3Full.dat.gz 23.0131349 20.8252166 19.4707853 18.1922857 17.6027107 17.3602198 -20.57 1.26 2.085451 -19.1 4
2251117060105 1.2724476 4.3276228 -56.6112435 101.589448 starSED/kurucz/km45_6250.fits_g30_6330.gz 20.7752722 19.9906254 19.7346096 19.6564095 19.6472632 19.654983 -0.49 3.69 0.0801309 188.8 0
2390937985033 1.2739177 4.3215708 -56.6174435 101.588395 starSED/kurucz/km15_5500.fits_g15_5740.gz 23.3543577 22.296886 21.9104504 21.7743239 21.7298735 21.7124888 -1.53 0.89 0.0411718 -56.2 0
2269759305737 1.2734403 4.3508204 -56.5896244 101.604833 starSED/kurucz/km25_4250.fits_g00_4370.gz 28.5527227 26.2692565 25.1510768 24.6792976 24.4607033 24.3359739 -0.81 1.08 0.0363413 25.6 0
1677000427529 1.2787255 4.3468171 -56.5951214 101.611526 starSED/mlt/m3.2Full.dat.gz 27.4002173 25.2180499 23.8623896 22.600948 22.0196529 21.7894431 -9.77 -1.04 0.3215141 -66.6 4
2251117688841 1.2686149 4.3477063 -56.5910075 101.594731 starSED/mlt/m3.0Full.dat.gz 31.4639973 29.2892278 27.9305956 26.7036134 26.13863 25.929376 -1.96 2.63 0.0504197 141.1 4
2251117959177 1.268697 4.3514542 -56.5874894 101.597082 starSED/kurucz/km45_4250.fits_g00_4310.gz 30.0795157 27.8745224 26.7195756 26.2113224 25.9704925 25.8400833 -1.14 0.41 0.0255153 -22.4 0
1676999786505 1.2706935 4.3407118 -56.598296 101.594166 starSED/kurucz/km20_5250.fits_g05_5390.gz 19.1270647 17.8888679 17.3961198 17.2075778 17.1303361 17.0945552 -3.83 5.95 0.4823919 45.3 0
1676999254025 1.2596424 4.3501695 -56.5857715 101.580818 starSED/mlt/m2.3Full.dat.gz 26.7054699 24.5073547 23.1389428 22.0489529 21.5482134 21.3549572 -5.51 -0.04 0.2865497 -23.7 4
2251115798537 1.2628563 4.3366154 -56.5996313 101.578323 starSED/mlt/m2.8Full.dat.gz 30.7888426 28.6145629 27.2528408 26.0620721 25.5141595 25.3180964 -4.36 0.87 0.0701132 -161.8 4
2251117375497 1.2707983 4.3371007 -56.6017453 101.592215 starSED/kurucz/km15_5250.fits_g15_5270.gz 22.66695 21.4522859 20.9145621 20.7069378 20.6244906 20.5814904 -3.2 2.53 0.1321904 53.9 0
2390937731081 1.2626256 4.3396292 -56.5967063 101.579707 starSED/mlt/m1.1Full.dat.gz 25.6503876 23.3782154 22.029909 21.2041783 20.8125843 20.6133407 -7.64 6.99 0.376357 12 4
2251106140169 1.2496227 4.2272126 -56.6987753 101.490831 starSED/mlt/m0.7Full.dat.gz 29.8829112 27.6339269 26.325462 25.5831905 25.2253608 25.0392413 -1.46 -0.45 0.0452689 -70 4
2251105912841 1.2498995 4.2230618 -56.7027891 101.48884 starSED/mlt/m0.8Full.dat.gz 29.9913896 27.7336843 26.4133158 25.6502148 25.283632 25.0937557 -1.99 1.8 0.047076 -122.1 4
1676996212745 1.2485607 4.2257811 -56.699783 101.488157 starSED/mlt/m4.2Full.dat.gz 26.7874871 24.5373728 23.167789 21.7106248 21.0211676 20.6889315 -4.01 8.81 0.5931984 57.5 4
1676996073481 1.2416248 4.2372609 -56.6866745 101.483071 starSED/mlt/m2.8Full.dat.gz 25.4245116 23.2498463 21.8878014 20.6968172 20.1487401 19.9525732 -6.93 6.54 0.5425003 29.8 4
2390935726089 1.2596174 4.2412864 -56.6887203 101.516347 starSED/mlt/m1.0Full.dat.gz 27.8816101 25.6117204 24.2710213 23.4660521 23.0825035 22.885998 -4.05 -0.77 0.1525457 -105 4
2390935662601 1.2653015 4.2219284 -56.7088688 101.514619 starSED/mlt/m2.5Full.dat.gz 31.0241462 28.8383337 27.4716562 26.3391596 25.8185351 25.6280967 -2.11 0.57 0.0566239 -24.6 4
2251109697545 1.2676488 4.2270026 -56.7048342 101.521663 starSED/mlt/m0.9Full.dat.gz 30.1128867 27.8476693 26.5161336 25.7319003 25.3565677 25.1631208 -1.48 0.77 0.0442792 -62.2 4
2251107123209 1.2446541 4.25654 -56.6694356 101.499718 starSED/kurucz/km25_4250.fits_g00_4450.gz 26.763797 24.6124935 23.563464 23.12328 22.9205271 22.806064 -5.84 3.95 0.089454 -63.4 0
1676996691977 1.2474925 4.2535697 -56.6731665 101.502826 starSED/mlt/m3.3Full.dat.gz 25.2367978 23.0484992 21.6937451 20.4150296 19.8252909 19.5826962 -7.25 14.9 0.8042665 57.7 4
2251107229705 1.2481406 4.2483611 -56.6783012 101.500846 starSED/kurucz/km25_4250.fits_g00_4390.gz 27.2881166 25.0375592 23.9364124 23.4724704 23.2577546 23.1354443 -2.59 2.09 0.0787771 -40.5 0
2390934882313 1.24192 4.2517429 -56.673081 101.492179 starSED/mlt/m0.2Full.dat.gz 25.7573175 23.561035 22.3171333 21.6724018 21.3586657 21.1942148 -14.48 -1.61 0.2435567 -182.6 4
2390938204169 1.3075686 4.2338332 -56.7113234 101.594295 starSED/kurucz/km25_6000.fits_g40_6060.gz 23.8644102 23.1081966 22.7776464 22.660717 22.631769 22.6323873 -1.24 1.88 0.0320037 16.9 0
2390938249225 1.3124024 4.2221083 -56.7239783 101.595665 starSED/kurucz/km10_5000.fits_g15_5180.gz 26.803429 25.4102558 24.8152975 24.5973572 24.5115463 24.4591769 -0.26 0.51 0.0231633 112.3 0
2251115116553 1.289143 4.2501121 -56.6899578 101.572274 starSED/mlt/m3.0Full.dat.gz 28.6223308 26.4467941 25.0875165 23.8601029 23.2947914 23.0853297 -8.37 1.4 0.1844166 -160.9 4
2269758392329 1.291602 4.2286584 -56.7110434 101.563794 starSED/mlt/m1.1Full.dat.gz 29.6327556 27.3597958 26.0108373 25.1846808 24.7927458 24.5932941 0.34 0.45 0.0647441 68.3 4
2372163344393 1.2899892 4.2382006 -56.7014967 101.566675 starSED/mlt/m1.7Full.dat.gz 30.3688141 28.1194399 26.7485794 25.7923336 25.3496119 25.142912 -1.24 0.39 0.0422474 -73.2 4
2027682977801 1.2941896 4.2297265 -56.7108723 101.568873 starSED/mlt/m4.3Full.dat.gz 24.9496878 22.695402 21.3196905 19.838151 19.133994 18.7957103 -4.72 8.99 1.4736692 14.5 4
2251108880393 1.2383637 4.3004271 -56.6259011 101.514955 starSED/kurucz/km10_5250.fits_g30_5350.gz 26.0765118 24.8963317 24.3690364 24.1780055 24.1067686 24.0678572 -0.94 0.94 0.027964 -6 0
2251109869577 1.2460135 4.2923383 -56.636034 101.523275 starSED/mlt/m4.9Full.dat.gz 31.3661562 29.0979715 27.6792857 26.0428898 25.2440598 24.8279924 -1.41 3.57 0.1143931 176.8 4
1676996872201 1.2460048 4.2661339 -56.6608051 101.507728 starSED/mlt/m6.1Full.dat.gz 27.3162926 24.9805031 23.4919043 21.5310452 20.605298 19.973941 -9.7 17.98 1.3043676 37 4
2251108898825 1.2502244 4.2662733 -56.6620448 101.515049 starSED/kurucz/km15_5750.fits_g35_5910.gz 22.8862184 22.0135948 21.6475756 21.5205523 21.487348 21.4806549 -1.94 2.07 0.05813 33.4 0
