#id coord_ra coord_dec flags_negative base_SdssCentroid_flag base_PixelFlags_flag_edge base_PixelFlags_flag_interpolated base_PixelFlags_flag_interpolatedCenter base_PixelFlags_flag_saturated base_PixelFlags_flag_saturatedCenter base_SdssCentroid_x base_SdssCentroid_y base_SdssCentroid_xErr base_SdssCentroid_yErr base_SdssShape_xx base_SdssShape_xy base_SdssShape_yy base_SdssShape_xxErr base_SdssShape_xyErr base_SdssShape_yyErr base_SdssShape_flag base_GaussianFlux_instFlux base_GaussianFlux_instFluxErr base_PsfFlux_instFlux base_PsfFlux_instFluxErr base_CircularApertureFlux_6_0_instFlux base_CircularApertureFlux_6_0_instFluxErr base_ClassificationExtendedness_value
281323062375219211 351.585225901 0.0882889271692 - False False False False False False 887.125765516 164.471317569 0.352803260088 0.503630578518 2.09092013151 0.700459071936 5.13706614368 0.907138466835 2.22869825363 1.0281264782 False 221.963162069 34.0464640788 167.312047612 24.9777754894 201.399047852 42.2125015259 1
281323062375219212 351.586364285 0.0989882513677 - False False False False False False 984.338137506 174.816530839 0.283222585917 0.317589819431 1.48941589806 -0.747426771824 2.28822210263 0.469584971666 0.721433639526 0.444018661976 False 215.851668832 26.6691292934 233.141405421 26.1654379615 270.654663086 42.6872329712 0
281323062375219213 351.591640006 0.0157899446432 - False False False False False False 228.42399815 222.84246393 0.192792102695 0.378199338913 1.22079062921 0.482055294954 3.58610163779 0.406388252974 1.193775177 0.505414307117 False 242.066942356 30.8261404349 235.166948582 26.5412457637 272.282348633 42.6755981445 0
281323062375219214 351.594473453 0.0713807343761 - False False False False False False 733.481094646 248.555873296 0.211759895086 0.204132318497 2.63788744704 -0.420838030131 2.20229173675 0.612034201622 0.51096868515 0.401412606239 False 389.7115664 31.9681671438 355.242557558 28.2088480137 419.636962891 43.6984672546 1
281323062375219215 351.598437645 0.163030416006 - False False False False False False 1566.16551298 284.558192105 0.00221344665624 0.00236265850253 1.85281423983 0.122782861484 2.1186105835 0.00664226198569 0.00759513117373 0.00503202760592 False 863081.860341 1100.24489585 866244.511969 908.171393151 846264.1875 727.818115234 0
281323062375219216 351.598125782 0.0991854046396 - False False False False False False 986.108343951 281.748467638 1.31576395035 1.49629402161 7.76022393724 1.95842401562 7.03480059812 nan nan nan True 384.949585744 49.4920804662 153.423079638 24.0138388269 369.572509766 43.3899497986 1
281323062375219217 351.598377375 0.192267702475 - False False False False False False 1831.74708297 283.992540499 0.548414289951 0.833394765854 2.70991293136 3.04184715766 7.3280191557 0.98771572113 2.67093420029 1.39056456089 True 245.590497233 32.6527166464 165.457180803 24.8398590469 212.031616211 42.3297538757 1
281323062375219218 351.600014096 0.101095976879 - False False True False False False 1003.46441914 298.91568255 0.00283741066232 0.00307008670643 1.81444918146 0.0826464802276 2.04221693858 0.0085490103811 0.00962216686457 0.00641917577013 False 500289.111497 750.474594748 507536.698584 696.068161612 493613.5 556.60760498 0
281323062375219219 351.605314921 0.114211930434 - False False False False False False 1122.62555647 347.104112233 0.204638063908 0.230598405004 1.84394882611 1.1983682853 1.99116323116 0.630695641041 0.681048154831 0.54659819603 False 217.607148436 26.0332906215 239.233080373 26.5974275259 210.144058228 42.1583023071 0
281323062375219220 351.605920994 0.141478586093 - False False False False False False 1370.35748886 352.604060414 0.0176330991089 0.0184118077159 1.86729834388 0.0755571095153 2.05648689905 0.0517469532788 0.0569897815585 0.0384280607104 False 14319.176054 140.019441597 14376.6222852 118.890190719 14051.8212891 102.007453918 0
281323062375219221 351.606933285 0.0248536862686 - False False True False False False 310.737377156 361.873980795 0.0128185655922 0.013068748638 1.98678455165 0.024440231292 2.07331345148 0.0406720116735 0.0424433685839 0.0293811783195 False 28191.7052914 171.13758185 28244.4530595 165.576368156 27593.2558594 137.435653687 0
